element,sp_num,obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Type,
Pt,6,"=""50.58261""","=""50.58264""","=""769""","=""1.31e+09""",,,
Ar,7,"=""50.583""","=""50.5846""","=""80""","=""""",,,
S,6,"=""""","=""50.584+""","=""""","=""1.33e+07""",B+,,
S,6,"=""""","=""50.584+""","=""""","=""1.40e+07""",B+,,
S,6,"=""""","=""50.584+""","=""""","=""6.64e+05""",B+,,
K,1,"=""50.5846""","=""""","=""a""","=""""",,,
Cr,21,"=""""","=""50.594""","=""""","=""1.9e+07""",E,,
Pt,6,"=""50.58960""","=""50.58960""","=""164""","=""9.00e+07""",,,
Ti,7,"=""50.5899""","=""50.590+""","=""8""","=""""",,,
He,1,"=""50.590""","=""50.5912527""","=""4""","=""""",,,
K,1,"=""50.5906""","=""""","=""a""","=""""",,,
K,1,"=""50.5962""","=""""","=""a""","=""""",,,
Nb,4,"=""50.5972""","=""50.5973""","=""75""","=""7.5e+09""",C+,,
N,2,"=""""","=""50.5986""","=""""","=""4.51e+09""",C+,,
Pt,6,"=""50.59899""","=""50.59909""","=""721""","=""1.03e+09""",,,
Mg,8,"=""""","=""50.5996""","=""""","=""1.48e+07""",D+,,
Ti,10,"=""50.60""","=""50.585""","=""""","=""3.9e+08""",D,,
Pt,6,"=""50.60184""","=""50.60210""","=""767""","=""1.38e+09""",,,
Cs,6,"=""50.6020""","=""50.6023""","=""66""","=""""",,,
K,1,"=""50.6025""","=""""","=""a""","=""""",,,
Ba,6,"=""50.6049""","=""50.6047""","=""30""","=""""",,,
N,2,"=""""","=""50.6054""","=""""","=""4.51e+09""",C+,,
Pt,6,"=""50.60932""","=""50.60941""","=""779*""","=""6.40e+08""",,,
Pt,6,"=""50.60932""","=""50.60952""","=""779*""","=""2.21e+09""",,,
Al,12,"=""""","=""50.614""","=""""","=""4.71e+09""",A+,,
Nb,4,"=""50.6147""","=""50.6147""","=""5""","=""1.3e+09""",D+,,
Si,9,"=""""","=""50.6150""","=""""","=""2.62e+07""",E,,
Si,9,"=""""","=""50.6150""","=""""","=""5.86e+07""",E,,
Si,9,"=""""","=""50.6150""","=""""","=""1.64e+08""",D,,
Pt,6,"=""50.61529""","=""50.61527""","=""410bl(Pt V)""","=""3.55e+08""",,,
N,2,"=""""","=""50.6153""","=""""","=""4.51e+09""",C+,,
Pt,5,"=""50.6153""","=""50.61551""","=""410""","=""3.31e+08""",,,
F,5,"=""50.616""","=""50.6159""","=""90""","=""1.60e+09""",A,,
K,1,"=""50.6161""","=""""","=""a""","=""""",,,
Ca,9,"=""""","=""50.6175""","=""""","=""7.2e+09""",C+,,
Ti,13,"=""50.618""","=""50.6*""","=""10""","=""""",,,
Ar,3,"=""50.6200""","=""50.61881""","=""3""","=""""",,,
Ba,4,"=""50.6229""","=""50.6229""","=""50000""","=""""",,,
Xe,9,"=""50.6230""","=""50.623+""","=""309""","=""""",,,
C,5,"=""""","=""50.6274""","=""""","=""2.834e+08""",AA,,
C,5,"=""""","=""50.6278""","=""""","=""9.448e+07""",AA,,
He,1,"=""50.631""","=""50.6200349""","=""5""","=""""",,,
Cd,4,"=""50.631""","=""""","=""80""","=""""",,,
Pt,6,"=""50.63163""","=""50.63168""","=""215""","=""1.38e+09""",,,
Ar,7,"=""50.632""","=""50.632""","=""40""","=""""",,,
K,1,"=""50.6360""","=""""","=""a""","=""""",,,
C,5,"=""""","=""50.6377""","=""""","=""4.721e+08""",AA,,
K,1,"=""50.6429""","=""""","=""a""","=""""",,,
V,5,"=""50.6429""","=""50.64281+""","=""1""","=""""",,,
Pt,6,"=""50.64390""","=""50.64386""","=""470""","=""4.67e+08""",,,
Cs,3,"=""50.6443""","=""50.643996""","=""30""","=""3.40e+08""",,,
Mo,9,"=""50.6462""","=""50.6461+""","=""30""","=""""",,,
Ti,5,"=""50.6468""","=""50.6465+""","=""7""","=""""",,,
K,1,"=""50.6489""","=""""","=""a""","=""""",,,
Pt,6,"=""50.65321""","=""50.65381""","=""293""","=""5.63e+08""",,,
He,1,"=""50.656""","=""50.6570577""","=""7""","=""""",,,
Cs,2,"=""50.656""","=""50.6560""","=""""","=""""",,,
W,7,"=""50.6606""","=""50.6602""","=""20""","=""""",,,
Pt,6,"=""50.66236""","=""50.66187""","=""130""","=""5.25e+07""",,,
C,3,"=""""","=""50.6632""","=""""","=""3.12e+07""",C+,,
Cs,5,"=""50.6633""","=""50.6634""","=""52bl""","=""""",,,
Cs,4,"=""50.6633""","=""50.6635""","=""5bl""","=""""",,,
Fe,4,"=""50.669""","=""""","=""11""","=""""",,,
Na,9,"=""""","=""50.67""","=""""","=""1.51e+09""",A,,
Na,9,"=""""","=""50.67""","=""""","=""1.51e+08""",A,,
K,1,"=""50.6737""","=""""","=""a""","=""""",,,
Ba,5,"=""50.6777""","=""50.6776""","=""50""","=""""",,,
Y,7,"=""50.6801""","=""50.6800""","=""50""","=""3.7e+09""",C,,
Ti,10,"=""""","=""50.6824""","=""""","=""1.5e+08""",E,,
K,1,"=""50.6883""","=""""","=""a""","=""""",,,
Cs,2,"=""50.6886""","=""50.6887""","=""""","=""""",,,
Ne,5,"=""50.689""","=""50.690""","=""60""","=""""",,,
Al,10,"=""""","=""50.69""","=""""","=""1.54e+08""",C+,,
Cs,8,"=""50.6904""","=""50.690""","=""3""","=""""",,,
Pt,6,"=""50.69154""","=""50.69163""","=""429""","=""3.47e+08""",,,
Pt,6,"=""50.69534""","=""50.69532""","=""875""","=""2.27e+09""",,,
Ba,6,"=""50.6959""","=""50.6957""","=""40""","=""""",,,
Na,5,"=""""","=""50.698""","=""""","=""1.89e+09""",B+,,
Cs,10,"=""50.7017""","=""50.7009""","=""145""","=""1.80e+09""",,,
Mo,7,"=""50.7023""","=""50.7023+""","=""5""","=""""",,,
Sr,3,"=""50.7035""","=""50.70326""","=""100""","=""""",,,
Pt,6,"=""50.70546""","=""50.70522""","=""628""","=""1.41e+09""",,,
K,1,"=""50.7059""","=""""","=""a""","=""""",,,
He,1,"=""50.708""","=""50.7058027""","=""10""","=""1.5929e+07""",AAA,,
Sr,11,"=""50.7082""","=""50.7081""","=""100""","=""7.31e+09""",,,
3He,1,"=""""","=""50.7084774""","=""""","=""""",,,
Ca,9,"=""""","=""50.7107""","=""""","=""2.37e+09""",C,,
Ne,5,"=""50.711""","=""50.712""","=""260*""","=""""",,,
Ne,5,"=""50.711""","=""50.713""","=""260*""","=""""",,,
Ti,9,"=""50.7174""","=""50.717+""","=""""","=""6.5e+08""",D,,
S,8,"=""""","=""50.72+""","=""""","=""8.08e+05""",E,,
Al,9,"=""""","=""50.72""","=""""","=""4.41e+08""",D,,
Kr,5,"=""50.723""","=""50.72239+""","=""2""","=""""",,,
K,1,"=""50.7231""","=""""","=""a""","=""""",,,
Pt,6,"=""50.72396""","=""50.72409""","=""255""","=""2.64e+09""",,,
Rb,4,"=""50.7244""","=""50.72446+""","=""16""","=""""",,,
B,2,"=""50.73""","=""50.73""","=""47a""","=""""",,,
K,1,"=""50.7321""","=""""","=""a""","=""""",,,
K,1,"=""50.7347""","=""""","=""a""","=""""",,,
Sc,10,"=""50.735""","=""50.735""","=""5""","=""""",,,
Sr,11,"=""50.7378""","=""50.7367""","=""80""","=""6.44e+09""",,,
Ti,9,"=""""","=""50.7382""","=""""","=""2.4e+08""",D,,
O,3,"=""50.7391""","=""50.7388""","=""800""","=""1.61e+09""",A,,
K,1,"=""50.7470""","=""""","=""a""","=""""",,,
Ar,3,"=""50.7480""","=""50.747573""","=""6""","=""""",,,
Na,9,"=""""","=""50.75""","=""""","=""1.35e+09""",A,,
Al,10,"=""""","=""50.75""","=""""","=""1.22e+09""",B,,
Al,7,"=""""","=""50.75""","=""""","=""5.24e+06""",D,,
Pt,6,"=""50.75122""","=""50.75175""","=""247""","=""4.00e+07""",,,
Ga,3,"=""50.7553""","=""50.7545+""","=""2""","=""""",,,
Rb,4,"=""50.7553""","=""50.75603+""","=""4""","=""""",,,
Mg,8,"=""""","=""50.7563""","=""""","=""4.78e+07""",C,,
K,1,"=""50.7566""","=""""","=""a""","=""""",,,
Pt,6,"=""50.75811""","=""50.75810""","=""334""","=""2.04e+09""",,,
Na,10,"=""""","=""50.761""","=""""","=""3.28e+08""",A,,
K,1,"=""50.7619""","=""""","=""a""","=""""",,,
Ar,3,"=""50.7623""","=""50.76257""","=""25""","=""""",,,
Mo,7,"=""50.7630""","=""50.7630+""","=""20""","=""""",,,
Ti,13,"=""50.764""","=""50.8*""","=""28""","=""""",,,
K,11,"=""50.765""","=""50.76""","=""20""","=""""",,,
Pt,6,"=""50.76793""","=""50.76775""","=""1050bl(O III)""","=""1.64e+09""",,,
K,1,"=""50.7682""","=""""","=""a""","=""""",,,
Ti,5,"=""50.7683""","=""50.7685+""","=""6""","=""""",,,
O,3,"=""50.7683""","=""50.7680""","=""900""","=""4.82e+09""",A,,
Ar,9,"=""50.7696""","=""50.7684""","=""20""","=""""",,,
He,1,"=""50.771""","=""50.7718102""","=""15""","=""2.1826e+07""",AAA,,
Pt,6,"=""50.77382""","=""50.77356""","=""909""","=""4.27e+08""",,,
Mo,7,"=""50.7740""","=""50.7741+""","=""80""","=""""",,,
3He,1,"=""""","=""50.7744884""","=""""","=""""",,,
Pt,6,"=""""","=""50.77484""","=""m""","=""5.22e+08""",,,
Pt,5,"=""50.7810""","=""50.78100""","=""204""","=""2.79e+08""",,,
Kr,6,"=""50.782""","=""50.7831""","=""6""","=""""",,,
K,1,"=""50.7824""","=""""","=""a""","=""""",,,
K,1,"=""50.7854""","=""""","=""a""","=""""",,,
Pt,6,"=""50.78660""","=""50.78671""","=""600""","=""8.23e+08""",,,
Pt,6,"=""50.78800""","=""50.78802""","=""681""","=""1.05e+09""",,,
N,3,"=""""","=""50.7906""","=""""","=""1.09e+09""",B,,
Pt,6,"=""50.79349""","=""50.79334""","=""617""","=""7.77e+08""",,,
Ba,6,"=""50.7939""","=""50.7936""","=""48""","=""""",,,
Xe,3,"=""50.7960""","=""50.79323+""","=""(-2)""","=""""",,,
Rb,6,"=""50.7971""","=""50.7967""","=""1000""","=""1.40e+10""",,,
K,1,"=""50.8000""","=""""","=""a""","=""""",,,
Cs,3,"=""50.8006""","=""50.800289""","=""30""","=""4.58e+08""",,,
Rb,3,"=""50.8008""","=""50.8004""","=""1""","=""""",,,
Cd,4,"=""50.801""","=""""","=""60""","=""""",,,
Pt,6,"=""50.80239""","=""50.80226""","=""878""","=""1.77e+09""",,,
K,1,"=""50.8050""","=""50.8050""","=""a""","=""""",,,
Pt,5,"=""50.8059""","=""50.80594""","=""384""","=""3.37e+08""",,,
C,2,"=""50.807""","=""50.794""","=""a*""","=""""",,,
C,2,"=""50.807""","=""50.797""","=""a*""","=""""",,,
C,2,"=""50.807""","=""50.800""","=""a*""","=""""",,,
C,2,"=""50.807""","=""50.802""","=""a*""","=""""",,,
C,2,"=""50.807""","=""50.802""","=""a*""","=""""",,,
C,2,"=""50.807""","=""50.803""","=""a*""","=""""",,,
C,2,"=""50.807""","=""50.805""","=""a*""","=""""",,,
C,2,"=""50.807""","=""50.807""","=""a*""","=""""",,,
C,2,"=""50.807""","=""50.807""","=""a*""","=""""",,,
C,2,"=""50.807""","=""50.808""","=""a*""","=""""",,,
C,2,"=""50.807""","=""50.808""","=""a*""","=""""",,,
C,2,"=""50.807""","=""50.810""","=""a*""","=""""",,,
C,2,"=""50.807""","=""50.813""","=""a*""","=""""",,,
C,2,"=""50.807""","=""50.814""","=""a*""","=""""",,,
C,2,"=""50.807""","=""50.815""","=""a*""","=""""",,,
F,5,"=""50.808""","=""50.8074""","=""100""","=""2.79e+09""",A,,
N,3,"=""""","=""50.8089""","=""""","=""2.73e+08""",B,,
Cs,2,"=""50.809""","=""50.8086""","=""""","=""""",,,
K,1,"=""50.8139""","=""""","=""a""","=""""",,,
Sr,4,"=""50.8140""","=""50.81398""","=""50p""","=""""",,,
La,5,"=""50.815""","=""""","=""40""","=""""",,,
O,3,"=""50.8182""","=""50.8178""","=""1000""","=""8.04e+09""",A,,
N,3,"=""""","=""50.8190""","=""""","=""5.46e+08""",B,,
Al,7,"=""""","=""50.82""","=""""","=""3.13e+07""",C,,
K,1,"=""50.8219""","=""""","=""a""","=""""",,,
Pt,6,"=""50.82352""","=""50.82354""","=""654""","=""1.06e+09""",,,
Ti,16,"=""""","=""50.829""","=""""","=""4.4e+02""",D,M1,
Cr,12,"=""50.83""","=""50.784+""","=""""","=""""",,,
Pt,6,"=""50.83180""","=""50.83181""","=""865""","=""9.68e+08""",,,
K,1,"=""50.8318""","=""50.8319""","=""a""","=""""",,,
Rb,3,"=""50.8333""","=""50.8332""","=""30""","=""""",,,
Cs,8,"=""50.8345""","=""50.8346""","=""111""","=""2.5e+09""",,,
N,3,"=""""","=""50.8374""","=""""","=""1.36e+09""",B,,
F,3,"=""50.839""","=""""","=""120""","=""""",,,
Na,6,"=""""","=""50.84""","=""""","=""7.54e+08""",D+,,
Na,6,"=""""","=""50.84""","=""""","=""4.19e+08""",D,,
Rb,2,"=""50.8436""","=""50.84342""","=""20""","=""""",,,
Ar,3,"=""50.84390""","=""50.843792""","=""450""","=""""",,,
K,1,"=""50.8457""","=""""","=""a""","=""""",,,
N,2,"=""""","=""50.8484""","=""""","=""6.47e+07""",B,,
Ne,5,"=""50.8485""","=""50.8485""","=""180""","=""""",,,
K,1,"=""50.8507""","=""""","=""a""","=""""",,,
Sr,9,"=""50.8513""","=""50.8510""","=""100""","=""3.66e+09""",,,
Pt,6,"=""50.85547""","=""50.85578""","=""232""","=""3.05e+08""",,,
K,1,"=""50.8557""","=""""","=""a""","=""""",,,
Ti,6,"=""50.8575""","=""50.857+""","=""18""","=""1.83e+09""",C,,
Si,13,"=""""","=""50.8631""","=""""","=""6.47e+08""",B+,,
Ar,3,"=""50.8607""","=""50.860764""","=""300""","=""""",,,
K,1,"=""50.8623""","=""""","=""a""","=""""",,,
V,14,"=""50.8625""","=""50.863+""","=""2""","=""2.1e+09""",D,,
Xe,3,"=""50.8625""","=""50.86239+""","=""(2)""","=""""",,,
He,1,"=""50.863""","=""50.8643383""","=""20""","=""3.1031e+07""",AAA,,
Pt,5,"=""50.8648""","=""50.86445""","=""430""","=""7.70e+08""",,,
N,2,"=""""","=""50.8668""","=""""","=""8.45e+07""",B,,
Ar,3,"=""50.8668""","=""50.867123""","=""180""","=""""",,,
K,1,"=""50.8669""","=""""","=""a""","=""""",,,
3He,1,"=""""","=""50.8670216""","=""""","=""""",,,
N,2,"=""""","=""50.8697""","=""""","=""1.91e+08""",B,,
W,7,"=""50.8718""","=""50.8714""","=""3""","=""""",,,
Ba,5,"=""50.8734""","=""50.8730""","=""48""","=""""",,,
Si,13,"=""""","=""50.8779""","=""""","=""6.44e+08""",B+,,
Cs,6,"=""50.8757""","=""50.8756""","=""48""","=""""",,,
K,1,"=""50.8762""","=""""","=""a""","=""""",,,
Si,13,"=""""","=""50.8818""","=""""","=""6.45e+08""",B+,,
N,2,"=""""","=""50.8794""","=""""","=""6.26e+07""",B,,
Mo,12,"=""50.880""","=""50.879+""","=""4""","=""""",,,
S,6,"=""50.8810""","=""50.8786""","=""5w*""","=""6.69e+08""",B+,,
S,6,"=""50.8810""","=""50.8830""","=""5w*""","=""7.17e+08""",B+,,
Pt,5,"=""50.8819""","=""50.88183""","=""188""","=""1.23e+08""",,,
K,1,"=""50.8825""","=""""","=""a""","=""""",,,
S,6,"=""""","=""50.8830+""","=""""","=""4.78e+07""",B+,,
Ar,7,"=""50.883""","=""50.8815""","=""12q""","=""""",,,
Ar,6,"=""50.8830""","=""50.8830""","=""8""","=""""",,,
Ba,5,"=""50.8831""","=""50.8829""","=""45""","=""""",,,
Sr,6,"=""50.8883""","=""50.8881""","=""24""","=""""",,,
Ar,7,"=""50.890""","=""50.8929""","=""12bl""","=""""",,,
K,1,"=""50.8908""","=""""","=""a""","=""""",,,
Ar,6,"=""50.8910""","=""50.8912""","=""8""","=""""",,,
N,2,"=""""","=""50.8928""","=""""","=""2.51e+08""",B,,
Cd,4,"=""50.895""","=""""","=""50""","=""""",,,
K,1,"=""50.8954""","=""""","=""a""","=""""",,,
Rb,7,"=""50.8971""","=""50.8971""","=""1000""","=""""",,,
Ne,8,"=""50.90""","=""50.752""","=""1100*""","=""4.55e+08""",A,,
Ne,8,"=""50.90""","=""50.778""","=""1100*""","=""3.63e+08""",A,,
Ne,9,"=""""","=""50.56""","=""""","=""1.456e+07""",AA,,
Ne,6,"=""50.900""","=""50.902""","=""10""","=""""",,,
N,2,"=""""","=""50.9006""","=""""","=""1.05e+08""",B,,
Nb,4,"=""50.9015""","=""50.9014""","=""4""","=""1.0e+09""",D+,,
K,1,"=""50.9017""","=""""","=""a""","=""""",,,
S,4,"=""""","=""50.9021+""","=""""","=""9.50e+02""",B,E2,
Pt,6,"=""50.90381""","=""50.90359""","=""319""","=""2.80e+08""",,,
Cs,7,"=""50.9068""","=""50.9066""","=""345""","=""""",,,
Nb,4,"=""50.9074""","=""50.9074""","=""120""","=""9.4e+09""",C+,,
K,1,"=""50.9087""","=""""","=""a""","=""""",,,
Ne,9,"=""""","=""50.56""","=""""","=""2.183e+08""",AA,,
Al,7,"=""""","=""50.91""","=""""","=""1.04e+08""",C+,,
Pt,5,"=""50.9120""","=""50.91186""","=""144""","=""4.31e+08""",,,
Ar,6,"=""50.912""","=""50.9120""","=""4bl""","=""""",,,
Ar,7,"=""50.912""","=""50.9139""","=""9bl""","=""""",,,
Ti,7,"=""50.9127""","=""50.913+""","=""2""","=""""",,,
W,7,"=""50.9128""","=""50.9122""","=""40""","=""""",,,
K,1,"=""50.9163""","=""""","=""a""","=""""",,,
Cs,5,"=""50.9164""","=""50.9168""","=""15""","=""""",,,
S,5,"=""""","=""50.9174+""","=""""","=""2.75e+00""",C,E2,
Ne,9,"=""""","=""50.58""","=""""","=""1.222e+09""",AA,,
Ar,6,"=""50.9200""","=""50.9202""","=""8""","=""""",,,
Pt,5,"=""50.9241""","=""50.92410""","=""657""","=""1.73e+09""",,,
V,6,"=""50.9260""","=""50.9257+""","=""8""","=""""",,,
K,1,"=""50.9266""","=""50.9266""","=""a""","=""""",,,
Ne,9,"=""""","=""50.59""","=""""","=""1.454e+09""",AA,,
Ne,9,"=""""","=""50.58""","=""""","=""3.64e+08""",AA,,
K,1,"=""50.9316""","=""""","=""a""","=""""",,,
Xe,9,"=""50.9332""","=""50.934+""","=""133""","=""""",,,
Ga,3,"=""50.9364""","=""50.9361+""","=""20""","=""""",,,
Pt,6,"=""50.93729""","=""50.93633""","=""534*""","=""4.58e+08""",,,
Pt,6,"=""50.93729""","=""50.93776""","=""534*""","=""2.04e+09""",,,
K,1,"=""50.9379""","=""50.9378""","=""a""","=""""",,,
Cu,4,"=""50.938""","=""""","=""70""","=""""",,,
Ne,9,"=""""","=""50.59""","=""""","=""1.090e+09""",AA,,
Pt,6,"=""50.94119""","=""50.94133""","=""396""","=""5.83e+08""",,,
O,5,"=""""","=""50.9421""","=""""","=""3.13e+09""",B,,
Ba,7,"=""50.9477""","=""50.9475""","=""45""","=""""",,,
Ti,7,"=""50.9511""","=""50.951+""","=""14""","=""""",,,
K,1,"=""50.9514""","=""""","=""a""","=""""",,,
Xe,3,"=""50.9519""","=""50.95243+""","=""(1)""","=""""",,,
W,7,"=""50.9526""","=""50.9523""","=""2""","=""""",,,
Cd,4,"=""50.955""","=""""","=""70""","=""""",,,
K,1,"=""50.9564""","=""""","=""a""","=""""",,,
N,3,"=""""","=""50.9579""","=""""","=""1.61e+09""",B,,
Mg,8,"=""""","=""50.9580""","=""""","=""1.53e+09""",B,,
K,7,"=""50.9591""","=""50.9590""","=""3""","=""""",,,
N,3,"=""""","=""50.9596""","=""""","=""1.79e+08""",B,,
Ba,5,"=""50.9612""","=""50.9603""","=""55""","=""""",,,
Pt,6,"=""50.96229""","=""50.96261""","=""150""","=""3.60e+08""",,,
Pt,6,"=""50.96675""","=""50.96641""","=""921*""","=""1.59e+09""",,,
Pt,6,"=""50.96675""","=""50.96650""","=""921*""","=""6.53e+08""",,,
V,5,"=""50.9697""","=""50.96967+""","=""2""","=""""",,,
Pt,6,"=""50.97035""","=""50.97034""","=""200""","=""5.33e+08""",,,
K,1,"=""50.9720""","=""""","=""a""","=""""",,,
K,1,"=""50.9793""","=""""","=""a""","=""""",,,
Na,6,"=""""","=""50.98""","=""""","=""2.49e+08""",E,,
Na,6,"=""""","=""50.98""","=""""","=""1.00e+09""",D,,
Na,6,"=""""","=""50.98""","=""""","=""2.50e+08""",D,,
Sc,5,"=""50.9804""","=""50.9800""","=""0""","=""""",,,
Pt,6,"=""50.98092""","=""50.98086""","=""389""","=""3.16e+08""",,,
Cd,4,"=""50.981""","=""""","=""25""","=""""",,,
K,1,"=""50.9859""","=""""","=""a""","=""""",,,
Pt,6,"=""50.98658""","=""50.98656""","=""196""","=""6.73e+08""",,,
N,3,"=""""","=""50.9890""","=""""","=""1.78e+09""",B,,
N,5,"=""""","=""50.9891""","=""""","=""3.60e+08""",A,,
K,1,"=""50.9892""","=""""","=""a""","=""""",,,
Al,10,"=""""","=""50.99""","=""""","=""2.03e+08""",C+,,
Rb,4,"=""50.9936""","=""50.99380+""","=""18""","=""""",,,
He,1,"=""50.997""","=""50.9998300""","=""25""","=""4.6224e+07""",AAA,,
Be,3,"=""50.999""","=""50.996""","=""3*""","=""7.9039e+08""",AAA,,
Be,3,"=""50.999""","=""50.996""","=""3*""","=""1.4222e+09""",AAA,,
Be,3,"=""50.999""","=""50.999""","=""3*""","=""1.0539e+09""",AAA,,
Be,3,"=""50.999""","=""50.999""","=""3*""","=""1.8970e+09""",AAA,,
Be,3,"=""50.999""","=""50.999""","=""3*""","=""4.7401e+08""",AAA,,
Be,3,"=""50.999""","=""50.999""","=""3*""","=""5.2693e+07""",AAA,,
K,1,"=""51.0025""","=""""","=""a""","=""""",,,
3He,1,"=""""","=""51.0025205""","=""""","=""""",,,
Pt,6,"=""51.00402""","=""51.00390""","=""179""","=""9.00e+07""",,,
K,1,"=""51.0055""","=""""","=""a""","=""""",,,
Sn,3,"=""51.0066""","=""51.00647""","=""20""","=""""",,,
N,5,"=""""","=""51.0089""","=""""","=""7.19e+08""",A,,
Ti,14,"=""51.01""","=""51.01*""","=""4""","=""""",,,
Na,5,"=""51.0102""","=""51.009""","=""10""","=""3.70e+09""",B+,,
Fe,13,"=""51.012""","=""51.008""","=""""","=""""",,,
W,7,"=""51.0120""","=""51.0118""","=""2""","=""""",,,
He,1,"=""""","=""51.0132995""","=""""","=""1.07e-02""",C,M2,
Ar,9,"=""51.0148""","=""51.0156""","=""50""","=""""",,,
K,1,"=""51.0151""","=""""","=""a""","=""""",,,
3He,1,"=""""","=""51.0159973""","=""""","=""""",,,
Cs,5,"=""51.0189""","=""51.0186""","=""15""","=""""",,,
Ne,9,"=""""","=""51.01""","=""""","=""5.05e+09""",AA,,
Cs,2,"=""51.022""","=""51.0225""","=""""","=""""",,,
Pt,6,"=""51.02239""","=""51.02244""","=""571""","=""2.72e+09""",,,
Ba,41,"=""""","=""51.0228""","=""""","=""3.23e+05""",,,
K,1,"=""51.0233""","=""""","=""a""","=""""",,,
S,5,"=""""","=""51.0251+""","=""""","=""2.99e+02""",B,E2,
Xe,3,"=""51.0252""","=""51.02622+""","=""(1)""","=""""",,,
Pt,5,"=""51.0260""","=""51.02607""","=""223""","=""6.05e+08""",,,
Mn,6,"=""""","=""51.0270""","=""""","=""2.300e+03""",E,E2,
K,7,"=""51.0291""","=""51.0225""","=""8*""","=""1.25e+10""",,,
K,7,"=""51.0291""","=""51.0313""","=""8*""","=""1.20e+10""",,,
Xe,9,"=""51.030""","=""51.032+""","=""4""","=""""",,,
S,8,"=""""","=""51.03+""","=""""","=""1.94e+07""",D,,
Rb,10,"=""51.0353""","=""51.034""","=""20""","=""1.3e+09""",,,
Sr,7,"=""51.0385""","=""51.0360""","=""100""","=""2.89e+09""",,,
Pt,6,"=""51.03990""","=""51.03984""","=""542""","=""7.36e+08""",,,
Ba,4,"=""51.0402""","=""51.0402""","=""100""","=""""",,,
Ba,7,"=""51.0426""","=""51.0429""","=""50""","=""""",,,
K,1,"=""51.0429""","=""""","=""a""","=""""",,,
W,7,"=""51.0498""","=""51.0490""","=""100""","=""""",,,
Na,6,"=""""","=""51.05""","=""""","=""3.31e+08""",D,,
Al,10,"=""""","=""51.05""","=""""","=""9.39e+08""",B,,
Ar,2,"=""51.0554""","=""51.05564448""","=""1""","=""""",,,
Na,10,"=""""","=""51.036""","=""""","=""5.07e+07""",A,,
Na,10,"=""""","=""51.042""","=""""","=""1.52e+08""",A,,
Na,10,"=""""","=""51.065""","=""""","=""2.53e+08""",A,,
K,1,"=""51.0598""","=""""","=""a""","=""""",,,
Pt,6,"=""51.06222""","=""51.06211""","=""620""","=""8.60e+08""",,,
K,1,"=""51.0671""","=""""","=""a""","=""""",,,
S,8,"=""""","=""51.07+""","=""""","=""1.06e+06""",E',,
Si,8,"=""""","=""51.0751""","=""""","=""3.07e+08""",B+,,
N,2,"=""""","=""51.0758""","=""""","=""1.87e+09""",B,,
B,3,"=""51.0770""","=""51.07688""","=""437""","=""1.570e+09""",AA,,
Ba,6,"=""51.0777""","=""51.0771""","=""52bl""","=""""",,,
Mo,12,"=""51.0798""","=""51.080+""","=""5""","=""""",,,
K,1,"=""51.0810""","=""""","=""a""","=""""",,,
Pt,6,"=""51.08270""","=""51.08291""","=""262""","=""4.83e+08""",,,
B,3,"=""51.0860""","=""51.08546""","=""873*""","=""1.882e+09""",AA,,
B,3,"=""51.0860""","=""51.08578""","=""873*""","=""3.137e+08""",AA,,
Pt,6,"=""51.08791""","=""51.08789""","=""91""","=""2.97e+08""",,,
K,1,"=""51.0913""","=""""","=""a""","=""""",,,
Cs,2,"=""51.0934""","=""51.0934""","=""""","=""""",,,
Mg,9,"=""""","=""51.0986""","=""""","=""1.16e+09""",C,,
S,6,"=""51.1028""","=""51.1029""","=""10""","=""2.74e+08""",B+,,
Sc,5,"=""51.1057""","=""51.1055""","=""1""","=""""",,,
Al,6,"=""""","=""51.106""","=""""","=""2.39e+07""",E,,
Pt,6,"=""51.10958""","=""51.10966""","=""1028bl(Pt V)""","=""1.40e+09""",,,
Pt,5,"=""51.1096""","=""51.10869""","=""1028bl(Pt VI)""","=""7.96e+08""",,,
Al,10,"=""""","=""51.11""","=""""","=""2.10e+08""",C+,,
K,1,"=""51.1118""","=""""","=""a""","=""""",,,
Ga,3,"=""51.1132""","=""51.113+""","=""170""","=""""",,,
Xe,9,"=""51.1159""","=""51.116+""","=""94""","=""""",,,
K,1,"=""51.1184""","=""""","=""a""","=""""",,,
Na,5,"=""51.1193""","=""51.120""","=""100""","=""4.48e+09""",B+,,
Pt,6,"=""51.11932""","=""51.11942""","=""1110""","=""1.29e+09""",,,
Sc,16,"=""51.12""","=""51.083""","=""""","=""1.7e+04""",D,M1,
Al,3,"=""51.1215""","=""51.11384""","=""250g*""","=""4.05e+07""",B+,,
Al,3,"=""51.1215""","=""51.11907""","=""250g*""","=""4.18e+07""",B+,,
Rb,4,"=""51.1241""","=""51.12428+""","=""18""","=""""",,,
Cs,4,"=""51.1254""","=""51.1253""","=""23""","=""""",,,
W,7,"=""51.1262""","=""51.1254""","=""300""","=""""",,,
B,2,"=""51.13""","=""51.13""","=""47a""","=""""",,,
Cs,8,"=""51.1308""","=""51.1305""","=""7""","=""2.6e+08""",,,
F,6,"=""""","=""51.1310""","=""""","=""1.91e+10""",B,,
Sr,6,"=""51.1347""","=""51.1346""","=""20""","=""""",,,
K,7,"=""51.1362""","=""51.1362""","=""3""","=""""",,,
